CustomerID,Geography_Athens,Geography_Rest_GR,Geography_Thessaloniki,Gender_Female,Gender_Male,Age_Band,TenureYears,EstimatedIncome,BalanceEuros,NoProducts,CreditCardholder,CustomerWithLoan,Digital_TRX_ratio,Inactive
5188208,False,True,False,False,True,0,0,40683.96,50086.212,1,0,0,0.38,0
8683784,False,False,True,True,False,5,4,2429.51,0.0,1,1,0,0.33,1
3512360,True,False,False,False,True,3,4,41694.49,26852.7072,1,1,1,0.72,0
7104818,False,True,False,False,True,1,5,74523.33,90325.62,1,0,0,0.08,0
6712745,False,True,False,True,False,1,9,111050.49,100537.0608,2,0,0,1.38,0
1142583,False,False,True,False,True,1,1,156554.37,37015.8954,2,0,0,0.67,0
899340,False,False,True,False,True,4,8,87476.57,51946.7256,1,1,1,0.51,0
5422659,False,True,False,False,True,1,4,81771.38,72049.8042,1,1,1,0.81,0
9836076,False,True,False,True,False,2,6,25149.77,112088.7636,2,1,1,0.76,0
654985,False,True,False,True,False,1,1,97075.41,67077.8064,1,1,0,0.54,0
996563,False,True,False,False,True,2,10,172105.75,81298.8066,2,1,1,0.8,0
4446557,False,True,False,True,False,1,5,99881.46,99478.8498,2,0,1,0.76,0
9427195,True,False,False,True,False,0,8,16836.61,64926.3516,1,1,0,0.89,0
4136312,False,True,False,False,True,4,2,25685.26,88271.9904,4,1,0,0.71,1
1118689,True,False,False,False,True,1,6,30539.87,0.0,1,1,0,0.82,0
7053531,False,False,True,True,False,2,0,39457.09,107980.7388,1,0,1,0.69,0
7368071,False,True,False,True,False,0,5,51831.32,104135.3544,2,1,1,0.83,0
5871878,True,False,False,False,True,2,9,127639.29,0.0,2,0,1,0.58,0
9520870,True,False,False,True,False,0,1,20477.56,117954.0054,2,1,0,1.05,0
8195218,True,False,False,False,True,3,8,122070.63,0.0,2,1,1,0.84,0
5186521,True,False,False,True,False,1,9,129943.26,0.0,1,1,1,0.67,0
1370699,False,False,True,False,True,1,5,169988.48,50987.1252,1,0,1,0.86,0
1732736,False,True,False,True,False,2,10,86522.4,80645.1756,2,1,0,0.84,0
6629931,True,False,False,True,False,1,1,150129.88,63786.0564,2,0,0,0.51,0
5743209,True,False,False,True,False,1,2,119718.63,0.0,1,1,0,0.69,1
4953459,True,False,False,True,False,2,3,23637.04,0.0,2,0,0,0.77,0
3694639,True,False,False,True,False,1,4,139534.7,59603.0292,1,1,1,0.8,0
1874495,True,False,False,True,False,3,4,2659.66,0.0,2,1,0,0.52,0
5277078,False,False,True,True,False,5,10,100767.9,0.0,2,1,1,0.58,0
8761470,False,False,True,False,True,0,3,112919.71,80310.0012,1,1,0,0.58,1
1019433,True,False,False,False,True,1,9,133126.33,0.0,2,1,0,0.7,0
9987576,True,False,False,True,False,3,4,82128.74,0.0,3,1,0,0.31,1
8960095,False,True,False,True,False,1,3,137408.48,53871.6222,2,1,1,0.66,0
6958615,False,False,True,True,False,2,5,152558.54,0.0,3,1,1,0.39,1
8478246,True,False,False,False,True,2,7,129005.24,78293.523,2,1,0,0.66,0
7247652,True,False,False,True,False,2,10,96364.68,0.0,2,1,0,0.75,0
707211,True,False,False,False,True,1,8,150892.83,0.0,2,1,1,0.58,0
6494215,False,False,True,False,True,2,4,75804.75,0.0,2,0,1,0.48,0
599442,False,False,True,False,True,1,10,106511.67,116340.807,1,0,1,1.01,0
194724,False,False,True,False,True,2,9,57197.87,67866.1104,1,0,1,0.68,0
6378326,False,True,False,False,True,1,8,172630.23,64077.024,2,1,1,0.52,0
1051226,False,False,True,False,True,0,8,87691.18,0.0,2,0,0,0.93,0
3677293,True,False,False,False,True,1,9,6684.74,0.0,2,0,0,1.04,0
5671470,True,False,False,True,False,2,6,141807.79,0.0,1,1,1,0.82,0
5564301,True,False,False,True,False,2,6,146431.31,0.0,2,0,0,0.82,0
693940,True,False,False,False,True,1,9,37514.53,54564.939,1,1,0,0.57,0
1900906,False,False,True,False,True,2,7,53666.81,0.0,2,1,0,1.07,0
2257295,False,False,True,True,False,4,1,155560.44,0.0,1,1,1,0.53,1
8805604,False,False,True,True,False,3,4,27956.59,70668.3582,2,1,1,0.54,1
6020684,False,True,False,False,True,1,1,9747.44,58699.4892,1,1,1,0.62,0
365937,False,True,False,True,False,2,2,33169.57,65872.521,1,0,1,0.91,0
8368155,False,False,True,False,True,1,5,63520.63,99061.248,1,0,0,0.57,0
3447307,False,True,False,False,True,1,9,87521.38,61270.3674,1,1,0,1.16,1
9916904,False,True,False,False,True,1,3,55882.11,59754.2946,1,0,1,1.06,0
1893027,False,True,False,False,True,2,7,24691.2,71316.366,2,1,0,0.69,0
9816565,True,False,False,False,True,2,2,76513.75,66157.311,1,0,0,0.75,0
9942855,False,False,True,False,True,2,9,21005.06,70085.763,1,0,1,0.72,0
3767754,False,True,False,False,True,1,9,89131.82,101953.8564,2,0,1,0.77,1
3228587,False,True,False,True,False,1,9,65527.14,87351.8514,2,1,1,0.68,0
7810083,False,True,False,True,False,2,6,101605.31,110790.504,1,1,0,0.88,0
3154291,True,False,False,True,False,2,1,28636.68,0.0,2,1,0,0.3,0
5799501,False,True,False,True,False,1,8,174761.09,71160.2958,1,1,0,0.69,1
4641413,False,True,False,False,True,1,4,106126.0,122214.7146,2,1,0,0.54,0
1620245,True,False,False,False,True,1,8,34174.64,85426.0044,2,0,0,0.38,0
